timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1720114738554,225,new-submission,200,OK,Thread Group 1-1,text,true,,336,2980,153,153,http://localhost:6500/new-submission,225,0,1
1720114738783,32,healthcheck,200,OK,Thread Group 1-1,text,true,,331,234,163,163,http://localhost:6500/healthcheck,32,0,0
1720114738556,292,new-submission,200,OK,Thread Group 1-4,text,true,,337,2966,177,177,http://localhost:6500/new-submission,292,0,1
1720114738569,279,new-submission,200,OK,Thread Group 1-11,text,true,,337,2945,177,177,http://localhost:6500/new-submission,279,0,1
1720114738816,47,deletesubmission,200,OK,Thread Group 1-1,text,true,,320,309,182,182,http://localhost:5500/deletesubmission,47,0,1
1720114738570,361,new-submission,200,OK,Thread Group 1-12,text,true,,337,2994,288,288,http://localhost:6500/new-submission,361,0,7
1720114738848,103,healthcheck,200,OK,Thread Group 1-4,text,true,,331,234,316,316,http://localhost:6500/healthcheck,103,0,0
1720114738848,112,healthcheck,200,OK,Thread Group 1-11,text,true,,331,234,328,328,http://localhost:6500/healthcheck,112,0,0
1720114738931,219,healthcheck,200,OK,Thread Group 1-12,text,true,,331,234,453,453,http://localhost:6500/healthcheck,219,0,0
1720114738863,287,getsubmission,200,OK,Thread Group 1-1,text,true,,726,237,453,453,http://localhost:5500/getsubmission?submissionID=Mnn9Gu8lE,287,0,0
1720114738572,579,new-submission,200,OK,Thread Group 1-13,text,true,,337,2973,453,453,http://localhost:6500/new-submission,579,0,2
1720114738566,585,new-submission,200,OK,Thread Group 1-6,text,true,,337,2994,453,453,http://localhost:6500/new-submission,585,0,1
1720114738576,575,new-submission,200,OK,Thread Group 1-17,text,true,,337,2952,453,453,http://localhost:6500/new-submission,575,0,1
1720114738566,585,new-submission,200,OK,Thread Group 1-7,text,true,,337,2938,453,453,http://localhost:6500/new-submission,585,0,1
1720114738952,225,deletesubmission,200,OK,Thread Group 1-4,text,true,,320,309,468,468,http://localhost:5500/deletesubmission,225,0,0
1720114739151,60,healthcheck,200,OK,Thread Group 1-17,text,true,,331,234,486,486,http://localhost:6500/healthcheck,60,0,0
1720114739151,60,healthcheck,200,OK,Thread Group 1-7,text,true,,331,234,484,485,http://localhost:6500/healthcheck,60,0,0
1720114739151,114,allsubmissions,200,OK,Thread Group 1-1,text,true,,1641,215,518,518,http://localhost:5500/allsubmissions,114,0,0
1720114738960,305,deletesubmission,200,OK,Thread Group 1-11,text,true,,320,309,518,518,http://localhost:5500/deletesubmission,305,0,1
1720114739151,114,healthcheck,200,OK,Thread Group 1-6,text,true,,331,234,518,518,http://localhost:6500/healthcheck,114,0,0
1720114739151,114,healthcheck,200,OK,Thread Group 1-13,text,true,,331,234,518,518,http://localhost:6500/healthcheck,114,0,0
1720114739265,58,getsubmission,200,OK,Thread Group 1-11,text,true,,726,237,558,558,http://localhost:5500/getsubmission?submissionID=Mnn9Gu8lE,58,0,0
1720114739150,174,deletesubmission,200,OK,Thread Group 1-12,text,true,,320,309,558,558,http://localhost:5500/deletesubmission,174,0,1
1720114739177,147,getsubmission,200,OK,Thread Group 1-4,text,true,,726,237,558,558,http://localhost:5500/getsubmission?submissionID=Mnn9Gu8lE,147,0,0
1720114738576,774,new-submission,200,OK,Thread Group 1-16,text,true,,337,2938,564,564,http://localhost:6500/new-submission,774,0,1
1720114738586,791,new-submission,200,OK,Thread Group 1-23,text,true,,337,2945,587,587,http://localhost:6500/new-submission,791,0,1
1720114738586,799,new-submission,200,OK,Thread Group 1-22,text,true,,337,2994,593,593,http://localhost:6500/new-submission,799,0,1
1720114738566,927,new-submission,200,OK,Thread Group 1-9,text,true,,336,2987,657,657,http://localhost:6500/new-submission,927,0,2
1720114738579,925,new-submission,200,OK,Thread Group 1-15,text,true,,337,2938,658,658,http://localhost:6500/new-submission,925,0,0
1720114738579,1052,new-submission,200,OK,Thread Group 1-21,text,true,,337,2952,660,660,http://localhost:6500/new-submission,1052,0,0
